row_id,case_id,run_id,arm,expected_route,question,final_answer,retrieved_evidence_summary,final_building_id_resolved,judge_verdict,judge_composite,judge_faithfulness,judge_answer_relevance,judge_entity_consistency,judge_calibration,judge_semantic_judge_pass,judge_fail_open,judge_evidence_present
EKR_GEN_016@v24_r1:A_open,EKR_GEN_016,v24_r1,A_open,generic,What energy-saving features should you look for when buying a fridge or freezer?,"When shopping for a new refrigerator or freezer, look beyond size and style and focus on features that drive down energy consumption—both to reduce your utility bills and to lessen environmental impact. Key energy-saving features include:  

1. High Energy-Efficiency Rating  
   • In Europe: look for A +, A ++ or A +++ on the EU energy label (with A +++ being the most efficient).  
   • In the U.S.: choose ENERGY STAR–certified models.  
   • Compare the annual kWh consumption on the label—smaller numbers mean lower running costs.  

2. Inverter (Variable-Speed) Compressor  
   • Runs more smoothly and only as fast as needed, avoiding the constant on/off cycling of traditional compressors.  
   • Provides more precise temperature control, uses up to 20–30 % less energy and tends to be quieter.  

3. Efficient Insulation and Sealing  
   • Thick, high-density polyurethane foam in the walls and door.  
   • Magnetic door gaskets that form an airtight seal—inspect for uniform closure around the entire door.  
   • Automatic door-close or door-alarm features to prevent energy loss from accidentally propped-open doors.  

4. Frost-Free (Auto-Defrost) System  
   • Prevents ice build-up on evaporator coils, which otherwise forces the compressor to work harder.  
   • Maintains consistent cooling and reduces manual defrosting, saving both time and energy.  

5. LED Interior Lighting  
   • Uses significantly less electricity than incandescent or halogen bulbs and generates less heat (so the compressor doesn’t have to work as hard).  
   • Often longer-lasting, reducing maintenance and replacement costs.  

6. Precise Digital Temperature Controls  
   • Allows you to fine-tune temperatures in both fridge and freezer compartments to the ideal range (fridge: 3–5 °C; freezer: –18 °C).  
   • Built-in sensors and displays help prevent overcooling (which wastes energy) or undercooling (which can spoil food).  

7. Eco-Modes and Vacation Settings  
   • “Eco” or “Energy Saver” modes adjust defrost cycles and compressor run times to reduce consumption during periods of light use.  
   • “Vacation” or “Holiday” settings raise the fridge temperature slightly when you’re away but keep it above safety thresholds.  

8. Smart and Connectivity Features (Optional)  
   • Some models can monitor door openings, ambient temperature and energy consumption via a smartphone app.  
   • Alerts if the door is left ajar or if a power outage occurs—helping you prevent wasted energy and spoiled food.  

9. Right-Sizing and Configuration  
   • Choose the capacity you actually need; oversized units waste energy cooling dead space.  
   • A freezer compartment inside the fridge door or a small “mini-freezer” drawer can be more efficient than a two-door design if you only freeze a little.  

10. Placement and Installation Tips  
   • Allow proper ventilation around the back and sides—crowded or wall-pressed units must run longer.  
   • Keep your appliance out of direct sunlight or next to heat-emitting equipment (oven, radiator), which forces it to consume more energy.  

By prioritizing these features—especially a high energy-efficiency rating, inverter compressor technology, strong insulation with airtight seals, frost-free operation and LED lighting—you’ll secure a fridge or freezer that keeps your food cold while keeping energy use (and costs) to a minimum.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: energy_class, energy_performance, heating_system, ventilation_type.",(no evidence retrieved),,pass,10.0,,10,,10,True,False,False
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r2:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,v24_r2,A_open,building_specific,What is the energy performance of my building?,"Here are the energy‐performance results from your latest EPC records (expressed in kWh per m² and annual):  

• Building ID 01-80-HAELSAN10-2 (version 2010) – Specific energy use: 155 kWh/m²·year; Energy class E  
• Building ID 05-83-RAEFSAN5-1 (version 2023) – Specific energy use: 75 kWh/m²·year; Energy class C  
• Building ID 17-81-BONDEN9-1 (version 2019) – Specific energy use: 109 kWh/m²·year; Energy class D  

The “latest” certificate for each building is the most recent version shown above.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",01-80-HAELSAN10-2,fail,8.0,10,10,2,10,False,False,True
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE@v24_r1:A_full,BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,v24_r1,A_full,building_specific,What is the energy performance of my building?,"Based on the latest Energy Performance Certificates (EPC) in your data, your buildings have the following specific energy use and energy class:

1. Building ID 19-84-LEOPARDEN5-1 (Leoparden 5)  
   • Specific energy use (“energiprestanda”): 190 kWh/m²·year  
   • Primary energy number (“egiprimarenergital”): 127 kWh/m²·year  
   • Latest energy class (2020 calculation): E  

2. Building ID 01-80-HAELSAN10-2 (Hälsan 10)  
   • Specific energy use (“energiprestanda”): 183 kWh/m²·year  
   • Primary energy number (2020 calculation): 133 kWh/m²·year  
   • Latest energy class (2020 calculation): E  

In other words, both buildings consume roughly 180–190 kWh per square metre and, under the current Swedish energy-classification scale, fall into class E.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",19-84-LEOPARDEN5-1,pass,9.75,10,10,10,9,True,False,True
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE@v24_r3:A_full,BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,v24_r3,A_full,building_specific,What is the energy performance of my building?,"Here are the key energy‐performance figures for your building (byggnadsid 17-81-BONDEN9-1):

• Energy performance (EPC “energiprestanda”): 109 kWh/m² per year (latest, 2019/2020)  
• Energy class: D (both EPC 2016 and EPC 2020 calculations)  
• Specific energy use (including heating and hot water): 82 kWh/m² per year  
• Total annual delivered energy: 22 914 kWh  
• Main heating system: Air-to-water heat pump  

In summary, your building’s energy performance metric is 109 kWh/m² year, placing it in class D.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",17-81-BONDEN9-1,pass,10.0,10,10,10,10,True,False,True
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,v24_r3,A_open,building_specific,What is the energy performance of my building?,"Based on the latest EPC (version 3.0, approved 19 September 2024) for building 05-83-RAEFSAN5-1 (Rådmansgatan 31, Motala), your building’s energy performance is as follows:

• Energy performance (EPC “energiprestanda”): 75 kWh/m²·year  
• Energy class: C  
• Specific energy use (“specifik energianvändning”): 42 kWh/m²·year  
• Total delivered energy (“egienergianvändning”): 7 171 kWh/year  
• Primary energy use (“primärenergianvändning”): 12 908 kWh/year  
• Energy index: 1.03 (relative to reference value)  
• Main heating system: air-to-water heat pump  
• District heating consumption: 0 kWh  

In EPC terminology:  
– epc_egienergiklass = C  
– epc_egienergiprestanda = 75  
– epc_egispecifikenergianvandning = 42  

This is the most recent and correct energy classification for your building.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",17-81-BONDEN9-1,fail,7.5,10,10,0,10,False,False,True
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r3:A_full,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,v24_r3,A_full,building_specific,What is the energy performance of my building?,"Here are the key energy‐performance figures for your building (byggnadsid 05-83-RAEFSAN5-1):

• Energy performance (EPC “energiprestanda”): 75 kWh/m²·year  
• Energy class (EPC “energiklass”): C  
• Specific energy use (EPC “specifik energianvändning”): 42 kWh/m²·year  
• Total annual energy use (EPC “energianvändning”): 7 171 kWh/year  
• Primary energy use (EPC “primärenergianvändning 2020”): 12 908 kWh/year  
• Main heating system: Electric heating (elvärme)  

In summary, your building’s certified energy performance is 75 kWh/m²·year, placing it in energy class C.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",05-83-RAEFSAN5-1,fail,8.0,2,10,10,10,False,False,True
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_PERFORMANCE@v24_r1:A_late_only,BRF_ODEN_09_PROFESSORSSLINGAN_53_001_PERFORMANCE,v24_r1,A_late_only,building_specific,What is the energy performance of my building?,"Here are the key figures for your building (ID 01-80-FILOSOFEN2-4) from the latest energy performance certificate:

• Energy Performance (primary energy index): 60 kWh/m²·year  
• Energy Class: B  
• Specific energy use (heating, domestic hot water, common electricity): 64 kWh/m²·year  
• Total annual energy use: 149 478 kWh  
• Main heating system: District heating

In other words, your building’s rated primary energy demand is 60 kWh per square metre and it falls in class B—well above the Swedish median in the latest classification.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",01-80-FILOSOFEN2-4,pass,9.75,10,10,10,9,True,False,True
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,v24_r3,A_open,building_specific,What is the heating system in my building?,"According to the latest energy performance certificate for your building (ID 05-83-RAEFSAN5-1, EPC version 3.0 approved 2024-09-19), the primary heating system is an air-to-water heat pump (“pump luft–vatten”). There is no district heating connection (district_heating_use = 0).

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",01-80-HAELSAN10-2,fail,7.25,10,10,0,9,False,False,True
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE@v24_r3:A_open,BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,v24_r3,A_open,building_specific,What is the energy performance of my building?,"For your building (ID 01-80-HAELSAN10-2), the latest energy declaration shows:

• Specific energy use (Energiprestanda): 155 kWh/m²·year  
• Energy class (2020 calculation): E  

In other words, your building consumes 155 kWh of delivered energy per square metre and is rated in class E.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",05-83-RAEFSAN5-1,fail,7.0,10,10,0,8,False,False,True
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE@v24_r2:A_full,BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,v24_r2,A_full,building_specific,What is the energy performance of my building?,"Based on the energy performance certificates in your data, you have two buildings recorded:

1. Building ID 19-84-LEOPARDEN5-1 (Leoparden 5, Arboga)  
   • Energy performance (EPC “egienergiprestanda”): 190 kWh/m²·year  
   • Energy class: E  

2. Building ID 01-80-HAELSAN10-2 (Hälsan 10, Stockholm)  
   • Energy performance (EPC “egienergiprestanda”): 183 kWh/m²·year  
   • Energy class: E  

If you are asking about “your building,” please check which of these two IDs applies. The figures above reflect the latest available certificates.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",19-84-LEOPARDEN5-1,pass,10.0,10,10,10,10,True,False,True
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE@v24_r1:A_open,BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,v24_r1,A_open,building_specific,What is the energy performance of my building?,"For the building with ID 17-81-BONDEN9-1 (the first record in your data), the latest Energy Performance Certificate (EPC) shows:  
• Energy performance (egienergiprestanda): 109 kWh/m²·year  
• Energy class (egienergiklass): D  
• Primary energy use (egiprimarenergital2020): 112 kWh/m²·year  
• Total annual energy use (egienergianvandning): 22 914 kWh  

The main heating system is an air-to-water heat pump.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",01-80-HAELSAN10-2,fail,7.25,10,10,0,9,False,False,True
BRF_ODEN_01_TULEGATAN_5A_001_HEATING@v24_r1:A_full,BRF_ODEN_01_TULEGATAN_5A_001_HEATING,v24_r1,A_full,building_specific,What is the heating system in my building?,"The energy performance data for your building (Building ID 01-80-HAELSAN10-2) shows that its primary heating system is district heating (“fjärrvärme”). Key details:  
• Connected network: Stockholm district heating  
• Annual district-heating use for space heating: 819 500 kWh  
• Annual district-heating use for domestic hot water: 161 300 kWh  

No other fuel types (oil, gas, biomass, heat pumps, etc.) contribute to the building’s space-heating system.

Note: Some building details may be outdated because I could not confirm how recent the underlying energy-declaration data is. I do not have confirmed data for: ventilation_type, electricity_use, energy_declaration_year, renovation_information.","SQL fields used (n=214): 01a_fnr, 50a_deso, 50a_husnridmerge, 50a_uuid, byggnadsid, district_heating_use, energy_class, energy_performance, epc_antalbyggdek_calc, epc_antalgamladek_calc, epc_egenantalbolgh, epc_egenantalkallarplan",01-80-HAELSAN10-2,pass,9.75,10,10,10,9,True,False,True
