case_id,annotator_id,timestamp_utc,faithfulness,answer_relevance,question_coverage,calibration,overall_pass,notes
EKR_GEN_007,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Accurate mapping of premises type to load profile: occupancy hours, plug-load density, and ventilation demand. Residential (morning/evening peaks, envelope-driven performance) and office (daytime, IT and lighting dominated) characterisations are both correct."
EKR_GEN_008,nico,2026-08-15T13:41:11.628232+00:00,9,9,9,8,1,"Comprehensive and accurate on common-area electricity: lighting with time and motion control, lift motors and controls, corridor and lobby fans and AHUs, plus the safety, security and communication loads (fire panels, smoke exhaust, CCTV, door entry) that this question usually misses."
EKR_GEN_009,nico,2026-08-15T13:41:11.628232+00:00,9,9,9,8,1,"Strong coverage of retrofit measures with correct technical specifics - ETICS versus internal insulation where facades are listed, PIR/PUR and mineral wool, ventilated roof assemblies against moisture build-up, Low-E glazing with warm-edge spacers, and thermal-bridge sealing at ground-floor interfaces."
EKR_GEN_010,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"Plausible and properly hedged shares: space heating 30-60%, DHW 10-30%, pumps and fans 5-15%, each explicitly qualified as varying with climate, envelope and heating technology. That hedging is the correct calibration for figures of this kind and is why faithfulness stays at 8 despite unverifiable numbers."
EKR_GEN_011,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,7,1,"Correct on fan energy, lifecycle and maintenance cost, and noise. The indoor-air-quality claim overstates the case: natural ventilation dilutes pollutants less predictably than a balanced mechanical system, so 'more effectively' holds only under favourable wind and temperature conditions, which the answer does not state."
EKR_GEN_012,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"Accurate on cross-ventilation, buoyancy-driven stack effect and solar chimneys. The guidance to make inlets larger than outlets is defensible for gentle, even flow but is the inverse of the usual rule for maximising flow rate, where the outlet is enlarged; the answer states the design intent without explaining the trade-off."
EKR_GEN_013,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,7,1,"Correct on on-site generation, avoided emissions, property value and resilience. 'Net metering' is US framing and does not describe the Swedish arrangement, where surplus is sold to a supplier with a tax credit per kWh, which slightly weakens the answer for this audience."
EKR_GEN_014,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Well-calibrated pre-investment checklist: orientation and tilt, shading sensitivity (including partial shade), remaining roof life, consumption profile from past bills, sizing strategy and storage economics. Correctly insists on completing roof work before mounting panels, which is the most expensive sequencing mistake in this area."
EKR_GEN_015,nico,2026-08-15T13:41:11.628232+00:00,5,6,6,5,0,"Reads 'the energy class' as the building's EPC class (epc_egienergiklass) when the question concerns household appliances, which carry the separate EU appliance label. It then argues appliance efficiency matters proportionally more in a class D building, which does not follow: household electricity is excluded from Swedish energiprestanda altogether, so the two scales are largely independent. Answers a different question via unsound reasoning, hence low relevance and coverage alongside low faithfulness."
EKR_GEN_016,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,6,1,"Feature list is sound - inverter compressors modulating to demand, vacuum-insulated panels, adaptive defrost, and the good advice to compare annual kWh rather than the letter grade alone. But it names A+++ as what the current European label means; fridges and freezers were rescaled to A-G on 1 March 2021, so the headline guidance is outdated despite the 'or its successor scale' hedge."
EKR_GEN_020,nico,2026-08-15T13:41:11.628232+00:00,9,9,9,8,1,"Accurate and well-structured on the Swedish two-contract model: natavtal with the local grid monopoly (fixed fee plus per-kWh transfer charge, not switchable) versus elhandelsavtal with a competitively chosen supplier. Correctly notes that the grid contract persists even for self-generators."
EKR_GEN_021,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correct on styr- och reglerteknik: sensors and transducers, controllers running PID or similar, actuators modulating valves, dampers, pumps and fans, and field buses such as BACnet and Modbus, all mapped properly onto building HVAC applications."
EKR_GEN_022,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Accurate expansion paths: additional I/O modules on the existing bus, expansion racks or a higher-capacity controller when the chassis is full, and distributed PLC/DDC controllers per zone reporting to a supervisory layer. The warning to match the existing protocol and avoid converter chains is the right practical emphasis."
EKR_GEN_023,nico,2026-08-15T13:41:11.628232+00:00,7,9,8,7,1,"AC and DC descriptions are technically correct, including bypassing the onboard charger and the 80% in 20-40 minutes figure. But the summary leaves 22-50 kW unclassified: EU AFIR draws the line at 22 kW, separating normal-power from high-power recharging points, so the stated boundary does not match the regulatory definition."
EKR_GEN_024,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correct on why load balancing is needed - fixed main fuse or service capacity, weak local distribution networks, and demand-based tariff charges - and on how a site-level master controller dynamically throttles chargers to stay within the available capacity."
EKR_GEN_025,nico,2026-08-15T13:41:11.628232+00:00,3,8,7,4,0,"ROT is stated correctly (30% of labour, cap SEK 50 000 per person per year, reported by the contractor to Skatteverket), but the 'energy-saving (green) tax deduction' is misdescribed: skattereduktion for gron teknik covers only solar PV, battery storage for self-produced electricity, and EV charging points - not insulation, windows, doors, ventilation or heat pumps. It borrows the real scheme's 2021 start date, 15% rate and SEK 50 000 cap and attaches them to a fabricated scope, which is more damaging than a vague answer because a board could act on it."
EKR_GEN_026,nico,2026-08-15T13:41:11.628232+00:00,4,9,7,5,0,"Klimatklivet is described broadly correctly (county administrative boards, climate investment support), but the lead item is not real: an Energimyndigheten investment support at up to 30% of eligible costs capped at SEK 100 000 per dwelling, applied for online in an annual call, corresponds to no Swedish programme. The actual smahus support ran via Boverket and the lansstyrelser at 50% up to roughly SEK 30 000 per measure category. Specific, confident, sourceless and actionable."
EKR_GEN_027,nico,2026-08-15T13:41:11.628232+00:00,8,8,8,6,1,"Lighting figures are consistent with SS-EN 12464-1 and EN 1838: 100 lx maintained on the walking surface, uniformity at or above 0.4, and 1 lx along the escape route. CRI at or above 80 is a design recommendation well above the standard's minimum, which the answer does not distinguish. Relevance and calibration marked down for appending an EPC data-freshness disclaimer listing energy_class, energy_performance, heating_system and ventilation_type to a question that involves no building data at all."
EKR_GEN_028,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Sound and correctly ordered - daylight capture first (window wells, light shafts, tubular daylight devices), then efficient LED fixture selection, then controls and finishes. Explicitly states the advice holds without building-specific data, which is the right framing for an evidence-absent case."
EKR_GEN_029,nico,2026-08-15T13:41:11.628232+00:00,7,9,8,6,1,"Correctly states that BBR sets no statutory stairwell temperature, treats stairwells as non-residential circulation space, and gives plausible practice set-points of 12-15 C with a frost-protection floor and a 14-16 C variant for some associations. Figures are presented as typical practice rather than as requirements. Calibration 6 for the same irrelevant EPC data-freshness footer seen in Case 28."
BRF_ODEN_01_TULEGATAN_5A_001_AMBIGUOUS,nico,2026-08-15T13:41:11.628232+00:00,2,6,5,2,0,"OTHER BUILDING: user supplied 'Tulegatan 5a' and the answer returns two certificates in different municipalities - Stockholm (byggnadsid 01-80-HAELSAN10-2, approved 2019-06-02) and Arboga (19-84-LEOPARDEN5-1, approved 2021-12-23) - presents both as records held for the user, then resolves by recency and concludes the heating 'is provided exclusively by the local district-heating network'. Recency is not a valid disambiguator between two buildings in two cities; the correct move was to ask which municipality, as Case 54 does. It also reports both as district-heated, contradicting Cases 32 and 34 which give a wood-chip boiler for the Arboga record, and its Arboga figures (103 328 + 24 950 kWh) contradict Case 32 (113 030 + 14 370 kWh). Byggnadsid 01-80-HAELSAN10-2 is attached to Radmansgatan 31 in Case 54."
BRF_ODEN_01_TULEGATAN_5A_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,2,5,5,3,0,"OTHER BUILDING: question asks for 'my building', singular, and the answer returns two, labelling both Tulegatan 5A in Stockholm and Arboga respectively and calling them 'the two buildings in your data set' without ever resolving which is the user's. Reports the Arboga record 19-84-LEOPARDEN5-1 as a wood-chip boiler (Flis, 113 030 kWh heating plus 14 370 kWh hot water) where Case 31 reports district heating at 103 328 plus 24 950 kWh for that same byggnadsid - the fuel type and both figures conflict. Relevance and coverage are low because no answer to the question actually asked is ever delivered."
BRF_ODEN_01_TULEGATAN_5A_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,3,8,7,3,0,"OTHER BUILDING: silently selects the Arboga record (19-84-LEOPARDEN5-1) as 'your building' with no mention that Cases 31 and 32 surface a second candidate in Stockholm. Internally the figures hold together - specific 190, primary 127, class E, and 127 against a 75 kWh/m2 reference is 169%, inside the class E band - but they contradict Case 35, which gives 141 specific and 102 primary for the same byggnadsid, and the district-heating weighting implied here (190 x 0.7 = 133) conflicts with the wood-chip boiler stated in Cases 32 and 34."
BRF_ODEN_01_TULEGATAN_5A_002_HEATING,nico,2026-08-15T13:41:11.628232+00:00,5,9,7,5,1,"Clean, direct and singular - the only Tulegatan answer that names one heating system for one building - and consistent with the Arboga entry in Case 32 (wood chips, district_heating_use zero). Faithfulness capped at 5 because Case 35 reports district heating for this same _002 record, so one of the pair must be wrong; on balance this is the likelier correct one, which is why it passes. Coverage 7 for giving no consumption figures, and calibration 5 for exposing raw field syntax ('district_heating_use = 0') in user-facing text."
BRF_ODEN_01_TULEGATAN_5A_002_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,2,5,6,2,0,"OTHER BUILDING: returns both the Arboga and Stockholm records as 'the two buildings in your query' and declares the Arboga one 'the current, authoritative result' purely on recency. The Stockholm entry is internally impossible: primary energy 183 kWh/m2 exceeds specific energy 178 kWh/m2, which cannot happen for district heating, where the 0.7 weighting factor would give roughly 125. It reports district heating for the Arboga byggnadsid where Cases 32 and 34 give a wood-chip boiler, and its figures (141 specific, 102 primary) contradict Case 33 (190 and 127) for that same record."
BRF_ODEN_02_PROFESSORSSLINGAN_51_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,7,9,8,6,1,"Single building, single heating system, figures consistent with Cases 37 and 38: Stockholm district-heating network, 79 330 kWh space heating, 58 800 kWh domestic hot water. Faithfulness held at 7 because that DHW figure appears verbatim in Case 51 for a different building (Professorsslingan 53), which points to a shared or defaulted value rather than a per-building reading. Calibration 6 - figures are asserted flatly, though the footer does disclaim four unconfirmed fields."
BRF_ODEN_02_PROFESSORSSLINGAN_51_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,8,9,9,6,1,"Fully self-consistent: delivered 167 524 kWh at 71 kWh/m2 specific implies Atemp of about 2 360 m2, and primary 149 037 kWh over that area gives 63 kWh/m2, exactly the stated energiprestanda; heating and DHW match Cases 36 and 38. The one tension is the class - 63 kWh/m2 against a 75 kWh/m2 flerbostadshus reference is 84%, which falls in class C rather than the stated B. Calibration 6 for asserting figures confidently beneath a footer disclaiming four fields."
BRF_ODEN_02_PROFESSORSSLINGAN_51_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,5,1,"Correctly grounds the advice in this building's own figures (class B, 63 kWh/m2, heating 79 330 and DHW 58 800 as the two largest end-uses) and the prioritisation follows from them, with DHW measures appropriate given it is the second-largest load. Marked down because it asserts 'the existing FT-system', a specific ventilation type, while the same answer's footer lists ventilation_type among the fields it could not confirm."
BRF_ODEN_03_TEKNIKRINGEN_10B_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"No evidence retrieved and the answer says so up front - names the inputs it would need and labels what follows as 'typical priority areas for most buildings' rather than presenting it as personalised. Content is accurate on envelope, MVHR and heat sources. The only defect is exposing raw schema names (epc_egienergiklass, epc_egenatemp, epc_egenbyggnadstyp) to the user. Audited as Audit 1."
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,6,1,"Single building, single system, no multi-record confusion: district heating with 118 576 kWh space heating and 45 056 kWh DHW, consistent with Cases 41 and 42, and it correctly states that no other fuels are reported. Cites a 2022 certificate where Case 41 cites a 2020 declaration for the same building, so the vintage is unreliable across the pair."
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,8,9,9,6,1,"Arithmetically sound: 198 495 kWh over 2 184 m2 gives the stated 91 kWh/m2 specific, and 173 149 kWh gives 79 kWh/m2 primary, with 79 against a 75 reference at 105%, consistent with the stated class D. Presents Swedish schema names (epc_egienergianvandning, epc_egiprimarenergianvandning, epc_egispecifikenergianvandning) as if they were EPC line items, and dates the declaration to 2020 where Case 40 says 2022."
BRF_ODEN_04_DROTTNING_KRISTINAS_VAG_43A_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,4,8,8,4,0,"The end-use split is defensible - 118 576 plus 45 056 against roughly 28 000 kWh electricity gives the stated 85% - but the envelope paragraph is self-contradictory: it says the reference value is 75% of the BBR-29 maximum and then recommends upgrading 'toward or below the BBR-29 reference of 80', which is incoherent and inconsistent with a class D building sitting at 105% of reference. It also asserts a mechanical supply-and-extract system with heat recovery ('venttyp ftx = Yes') at a stated airflow, despite ventilation_type being unconfirmed, and leaks that field syntax to the user."
BRF_ODEN_05_ARTEMISGATAN_17_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"No evidence retrieved and the answer generalises correctly, conditioning explicitly on 'your building's current condition and use' and directing the user to obtain or update their own EPC rather than asserting a class. Content is accurate and well sequenced - audit first, then envelope, then systems. Leaks the raw field name epc_egienergiklass. Audited as Audit 4."
BRF_ODEN_06_TEKNIKRINGEN_78B_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"Correctly states it has no specific data on the property before generalising, which is the right behaviour for an evidence-absent building question. U-value targets quoted for Sweden (0.20 W/m2K or better for walls, 0.15 for roofs) are in the right region for new-build practice, though BBR expresses the requirement as an average Um rather than per-element limits. Blower-door testing advice is appropriate and actionable."
BRF_ODEN_07_TEKNIKRINGEN_37A_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,7,9,7,5,1,"Direct and singular, consistent with Cases 46 and 47 on direct electric heating with no district-heating connection. Coverage 7 because it gives no consumption figures at all, and calibration 5 for the flat assertion combined with exposing raw field syntax ('district_heating_use = 0') in user-facing text."
BRF_ODEN_07_TEKNIKRINGEN_37A_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,7,9,9,6,1,"Every figure reconciles: 230 m2 x 108 kWh/m2 = 24 840 kWh, the breakdown 23 445 + 115 + 1 280 sums to exactly that, and 108 x 1.8 for electricity weighting gives the stated 194 kWh/m2 primary, with 194 against a 75 reference consistent with class G. Faithfulness is still capped at 7 because domestic hot water of 115 kWh/year is physically implausible - under 0.4 kWh/day, roughly three litres of hot water - and a 230 m2 Atemp is small for a BRF block, so coherent arithmetic is built around at least one unrealistic input."
BRF_ODEN_07_TEKNIKRINGEN_37A_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,6,1,"Prioritisation is appropriate for a class G direct-electric building and the FTX recommendation at 75% or better recovery is the right first move. Marked down for citing a reference level of about 55 kWh/m2, which matches no BBR 29 category - 75 for flerbostadshus, 90 for smahus, 70 for lokaler - and conflicts with the 85 kWh/m2 used in Case 53, so the reference value is inconsistent across the run."
BRF_ODEN_08_PROFESSORSSLINGAN_49_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,7,9,8,6,1,"Single building, single system, consistent with Cases 49 and 50 at 59 545 kWh space heating and 66 600 kWh DHW, and it correctly states that no other heating sources are used. Faithfulness held at 7 because DHW exceeding space heating by roughly 12% is unusual for Stockholm multi-family stock; it is possible in a well-insulated building but is asserted without remark."
BRF_ODEN_08_PROFESSORSSLINGAN_49_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,6,1,"Clean and minimal - names the byggnadsid (01-80-FILOSOFEN2-2), the registration date and the two headline figures without padding. 53 kWh/m2 against a 75 reference is 71%, consistent with the stated class B, and the class agrees with Case 50. Calibration 6 for flat assertion beneath a footer disclaiming four fields."
BRF_ODEN_08_PROFESSORSSLINGAN_49_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,4,9,8,4,0,"The end-use shares are internally consistent - 59 545 plus 66 600 plus 28 400 is 154 545 kWh, giving 38/43/18% - but the answer states an energy index of 1.04 and describes the building as 'just above the reference level', which is incompatible with class B and with the 53 kWh/m2 of Case 49, that being 71% of reference or an index near 0.71; an index of 1.04 would be class D. It also asserts the building 'already uses an FTX system' while ventilation_type is unconfirmed. The mischaracterisation of the building's standing drives the entire 'push into class A' framing, hence the fail."
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,6,9,8,6,1,"Consistent with Case 52 on the heating figure (53 777 kWh), the class and the 60 kWh/m2 primary performance. Two flags: the DHW figure of 58 800 kWh duplicates Case 36 for a different building, again suggesting a defaulted rather than retrieved value, and it dates the calculation to 2020 where Case 52 cites a 2023 declaration."
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,8,9,9,6,1,"Arithmetic reconciles: 149 478 kWh over 2 352 m2 is the stated 64 kWh/m2 specific, and 141 696 kWh is 60 kWh/m2 primary, with the heating figure matching Case 51. Same class tension as Case 37 - 60 kWh/m2 is 80% of a 75 reference, which sits in class C rather than the stated B. Cites a 2023 declaration where Cases 51 and 53 cite 2020."
BRF_ODEN_09_PROFESSORSSLINGAN_53_001_ADVICE,nico,2026-08-15T13:41:11.628232+00:00,5,9,8,5,1,"The DHW share is correct against its own companion - roughly 59 MWh of a 149 478 kWh total is 39%, matching Case 52 - and the recommended measures follow from it. Marked down on three counts: it cites an 85 kWh/m2 reference for new multifamily dwellings where BBR 29 gives 75 and Case 47 uses 55; it asserts mechanical supply and exhaust with heat recovery despite ventilation_type being unconfirmed; and it dates the certificate to 2020 where Case 52 says 2023."
BRF_ODEN_10_RADMANSGATAN_31_001_AMBIGUOUS,nico,2026-08-15T13:41:11.628232+00:00,4,8,8,8,1,"The best-handled ambiguous address in the set: finds three records for Radmansgatan 31 - Stockholm (01-80-HAELSAN10-2), Motala (05-83-RAEFSAN5-1) and Kristinehamn (17-81-BONDEN9-1) - keeps them conditional ('If you are in the Stockholm building...') and never collapses them into a single assertion, which is precisely what Case 31 fails to do. Hence calibration 8 and a pass despite low faithfulness: byggnadsid 01-80-HAELSAN10-2 is presented here as Radmansgatan 31 but as Tulegatan 5A in Cases 31 and 32, so one building record is mapped to two different streets somewhere upstream of the answer layer."
BRF_ODEN_10_RADMANSGATAN_31_001_HEATING,nico,2026-08-15T13:41:11.628232+00:00,7,9,7,5,1,"Names one building and one system, consistent with the Motala entry in Case 54 and with Cases 56, 59 and 60. Calibration 5 because it resolves silently to the Motala record without noting that the same address returned three candidates one case earlier, and coverage 7 because it gives no consumption figures."
BRF_ODEN_10_RADMANSGATAN_31_001_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,8,9,9,6,1,"Fully reconciles against Case 60: 7 171 kWh over 171 m2 is the stated 42 kWh/m2 specific, and 7 171 x 1.8 for the heat pump's electricity weighting gives 12 908 kWh primary, or 75 kWh/m2 - exactly the stated energiprestanda - with 75 against a 90 smahus reference consistent with class C. Certificate version and approval date are correctly carried. The caveat is scale rather than arithmetic: 171 m2 and 7 171 kWh/year describe a single-family-sized property, not a BRF block."
BRF_ODEN_10_RADMANSGATAN_31_002_HEATING,nico,2026-08-15T13:41:11.628232+00:00,4,9,7,5,0,"OTHER BUILDING: returns byggnadsid 05-83-RAEFSAN5-1, the same Motala record already returned for case _001 in Case 55, while its own companion Case 58 answers the _002 performance question for 17-81-BONDEN9-1 in Kristinehamn. The two halves of a single case ID therefore describe two different buildings in two municipalities, so at least one is wrong. The answer itself is clean and singular, which is why relevance stays high while faithfulness does not."
BRF_ODEN_10_RADMANSGATAN_31_002_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,3,9,8,4,0,"OTHER BUILDING: internally inconsistent - 22 914 kWh over the stated 280 m2 Atemp is 82 kWh/m2, not the 109 kWh/m2 asserted twice, and no weighting reconciles the two, since a heat-pump factor of 1.8 would give about 147. Separately it answers for 17-81-BONDEN9-1 while Case 57 answers the same _002 case ID for 05-83-RAEFSAN5-1. Class D is at least consistent with 109 against a 90 smahus reference, which suggests 109 is a real figure attached to the wrong floor area or the wrong building."
BRF_ODEN_10_RADMANSGATAN_31_004_HEATING,nico,2026-08-15T13:41:11.628232+00:00,5,9,9,5,0,"OTHER BUILDING: figures cohere with Cases 56 and 60 - space heating 5 288 kWh of a 7 171 kWh total, class C, 75 kWh/m2, certificate version 3.0 approved 2024-09-19 - and the explanation of how an air-to-water heat pump works is accurate. The problem is identity rather than content: case IDs _001, _002 and _004 under this BRF all resolve to byggnadsid 05-83-RAEFSAN5-1, so distinct building records appear collapsed onto one and at least two of the three must be answering about the wrong building."
BRF_ODEN_10_RADMANSGATAN_31_004_PERFORMANCE,nico,2026-08-15T13:41:11.628232+00:00,5,9,9,5,0,"OTHER BUILDING: figures are identical to Case 56 (_001) down to the last kWh - 7 171 delivered, 42 specific, 12 908 primary, 75 energiprestanda, class C, Atemp 171 m2 - confirming that _004 and _001 return the same record. Internally consistent and correctly weighted, but 171 m2 and 7 171 kWh/year is single-family scale rather than a BRF block, and the claim that this certificate 'supersedes earlier EPCs' is asserted without support."
DEMO_EXTRA_GEN_002,nico,2026-08-15T13:41:11.628232+00:00,9,9,9,8,1,"Strong on the Swedish governance path specifically: stadgar and a members' meeting decision for work on common property, bygglov versus anmalan, heritage and k-markt restrictions, and a grid-connection agreement with the natagare including possible reinforcement costs. That legal sequencing is the part boards most often miss, and it is placed before the technical feasibility section, which is the right order."
DEMO_EXTRA_GEN_003,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,7,1,"Accurate DHW measures with correct figures - heat-pump COP of 3-4, solar thermal covering 20-60% of annual DHW demand depending on sizing and insolation, and drain-water heat recovery on main soil-stack risers. Conditions its advice on building size, age and existing class rather than asserting any of them. Leaks the raw field name EPC_egienergiklass."
DEMO_EXTRA_GEN_004,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correct definition of ventilation balancing - measuring flows at diffusers and grilles, adjusting dampers, fan speeds and inverter drives, and verifying that supply and exhaust match or are intentionally offset for pressure strategy - and a correct causal account of why over-ventilation raises heating and cooling demand. Audited as Audit 9."
DEMO_EXTRA_GEN_005,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"The core figure is right: roughly 5% less heat demand per 1 C reduction, with practical setback and zoning advice. Two soft flags - the headline 'about 5-10%' overstates the upper end relative to the 5% the answer itself then gives, and the suggested bedroom range of 16-18 C sits below the 20 C that Swedish public-health guidance treats as the normal indoor target, which is worth noting for a housing-association audience."
DEMO_EXTRA_GEN_006,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Correctly ordered for a budget-constrained BRF: establish a baseline from the existing EPC or a simple audit, take low-hanging fruit (LED with presence detection, thermostat setback, radiator balancing, draught-proofing, demand-controlled ventilation), then build a cost-benefit matrix before committing capital. Payback claims of 1-2 years for lighting and 5-10% from balancing and setback are plausible and hedged. Leaks the raw field name epc_egienergiklass."
DEMO_EXTRA_COMB_001,nico,2026-08-15T13:41:11.628232+00:00,8,9,8,8,1,"Named address with no evidence retrieved, and the answer correctly declines to invent a class: it tells the user to consult the building's own EPC first and labels everything after that as typical priorities. This is the desired behaviour and the direct contrast with Case 1, which personalises on the same empty evidence. The 30-40 cm insulation figure is high but defensible for attic upgrades; leaks several raw field names."
DEMO_EXTRA_COMB_002,nico,2026-08-15T13:41:11.628232+00:00,9,9,8,8,1,"Same correct pattern as Case 66 - names the address, states that the EPC must be reviewed first, and invents no class, figure or system. Worth recording for run-level diagnosis that Cases 48-50 did retrieve records for this same address (Professorsslingan 49), so retrieval is non-deterministic across the run rather than uniformly empty for this building."
